Price,Year,Mileage,City,State,Vin,Make,Model
10700,2016,41710,Hammond, LA,1FADP3K20GL204227,Ford,FocusHatchback
16995,2014,62782,Philadelphia, PA,2G1125S32E9156193,Chevrolet,Impala2LT
30788,2016,18646,Merriam, KS,5N1AZ2MH6GN140391,Nissan,MuranoAWD
35595,2015,15981,Isanti, MN,1FTEW1EP7FFC94373,Ford,F-1504WD
24995,2015,20080,Egg Harbor, NJ,1N6AD0EV0FN727290,Nissan,FrontierCrew
23487,2017,13192,Marshall, TX,2C3CDXHG8HH551414,Dodge,ChargerSXT
14285,2013,59969,Calumet, IL,2GNFLNEK6D6379986,Chevrolet,EquinoxAWD
37995,2014,57701,Payson, AZ,5TFHW5F17EX331039,Toyota,Tundra
23750,2013,80872,Easley, SC,5N1AL0MM5DC309472,INFINITI,JX35JX35
60207,2016,24078,West Chester, PA,SALAG2V67GA809288,Land,Rover
22000,2017,22710,Austin, TX,1G1105S30HU116210,Chevrolet,ImpalaLT
9685,2016,31685,Fort Worth, TX,3FADP4BJ1GM122471,Ford,FiestaSedan
28991,2016,44403,Dearborn, MI,5TDYK3DC5GS713566,Toyota,"SiennaXLE,"
12982,2015,12176,Scottsdale, AZ,KNDJN2A23F7812944,Kia,SoulManual
13499,2012,55656,Brook Park, OH,JN1DV6AR4CM731050,INFINITI,G25
4995,2006,99160,Virginia Beach, VA,5NPEU46F26H025488,Hyundai,Sonata4dr
36987,2014,54218,Placerville, CA,3GTU2VEC3EG393474,GMC,Sierra
18294,2016,5853,Seattle, WA,1VWBT7A38GC062267,Volkswagen,Passat4dr
14995,2016,37555,Palm Coast, FL,4T1BF1FK2GU514260,Toyota,CamryLE
13999,2014,27009,Indianapolis, IN,19XFB2F55EE005292,Honda,Civic
23990,2014,37781,Charlotte, NC,WBA3A5G59ENP33230,BMW,3
8974,2011,99786,Dinuba, CA,1N4AL2AP5BN458454,Nissan,Altima4dr
13997,2017,31592,New York, NY,5NPE24AF8HH443862,Hyundai,Sonata2.4L
22888,2016,30573,Belle Plaine, MN,2GNALDEK1G6137342,Chevrolet,EquinoxFWD
9900,2002,83295,Live Oak, FL,3D7HA18N42G160652,Dodge,Ram
4495,2002,118053,Arlington, TX,JN8DR09X62W662791,Nissan,PathfinderLE
12495,2016,15515,Doral, FL,3MZBM1T78GM244995,Mazda,Mazda3i
62190,2014,49158,Duluth, GA,WP0AF2A72EL083561,Porsche,PanameraGTS
16750,2014,54004,Marietta, GA,1G4GB5G36EF157828,Buick,LaCrosseFWD
23051,2016,14804,Nicholasville, KY,1N6AD0EV3GN788196,Nissan,FrontierCrew
29695,2014,77365,Indianapolis, IN,5FRYD4H4XEB018082,Acura,MDXAWD
33000,2016,24672,Spokane, WA,1C6RR7KM5GS157647,Ram,"1500Tradesman,"
27555,2014,45080,Panama City, FL,3GCPCREC5EG132624,Chevrolet,Silverado
28500,2015,36502,Noblesville, IN,1GCVKREH1FZ253335,Chevrolet,Silverado
23998,2016,22655,Merriam, KS,1FTMF1CP4GKD94518,Ford,F-1502WD
24997,2014,39499,Bay Minette, AL,2C4RDGCG6ER422039,Dodge,Grand
34700,2015,59669,Rogers, AR,1GKS1GKC3FR278499,GMC,Yukon
24995,2012,102765,Coeur d'Alene, ID,1GKKVTED5CJ221717,GMC,AcadiaAWD
25572,2013,87774,Cathedral City, CA,1C4BJWCG2DL598680,Jeep,WranglerRubicon
14999,2005,124044,Finksburg, MD,1D7HU18D85S349395,Dodge,Ram
41191,2016,18800,Fairfax, VA,2T2BZMCA0GC007715,Lexus,RX
28988,2012,87500,Temple, TX,5TFFY5F17CX124925,Toyota,Tundra
15535,2015,27933,Santa Cruz, CA,ZACCJABT6FPB26793,Jeep,RenegadeLatitude
14987,2015,51188,Cartersville, GA,1N4AL3AP8FC442496,Nissan,Altima2.5
36995,2016,58401,Burlington, NC,3GCUKSECXGG278470,Chevrolet,Silverado
15820,2015,24618,Oklahoma City, OK,1FMCU0GX3FUB03981,Ford,EscapeFWD
22888,2011,55455,Milwaukie, OR,1D7RV1GT9BS559154,Ram,15004WD
28950,2015,11197,Houston, TX,WDDGJ4HB2FG388654,Mercedes-Benz,C-ClassC250
16699,2014,4149,Sanford, NC,4T1BF1FK7EU851603,Toyota,CamryL
18287,2013,89280,Denver, CO,1FM5K8D82DGC25625,Ford,ExplorerXLT
10095,2008,99557,Aurora, IL,1YVHP81D085M27928,Mazda,MAZDA64dr
19998,2014,21970,Westborough, MA,1C4PJMCSXEW199210,Jeep,CherokeeLatitude
22495,2014,56544,Highland Park, IL,WDCGG0EB6EG193560,Mercedes-Benz,GLK-ClassGLK250
14990,2015,40154,Ansonia, CT,1N4AL3AP1FC153489,Nissan,Altima2.5
7996,2006,58717,Phoenix, AZ,1G4HD57296U253780,Buick,Lucerne4dr
21500,2014,32336,Cedar Rapids, IA,2C3CCAKG3EH139082,Chrysler,300300C
15888,2014,74588,Concord, CA,4T1BF1FK6EU828135,Toyota,CamrySE
