Brand,Model,Storage,RAM,Screen_Size,Camera,Battery_Capacity,Price
Apple,iPhone SE (2nd Gen),64,3,4.7,12,1821,399
Xiaomi,Redmi 9T,128,4,6.53,48+8+2+2,6000,229
Motorola,Moto G Pro,128,4,6.4,48+16+2,4000,329
Samsung,Galaxy S21 Ultra 5G,256,12,6.8,108+12+10+10,5000,1199
Xiaomi,Redmi 10,128,4,6.5,50+8+2+2,5000,229
